,PCA1,PCA2,PCA3,0,Cluster
200,-6.363140044119919,-3.3236457747913737,1.5201533907698694,Sadio Mané,4
201,-6.362489746094762,-2.696665713590923,2.7585897924667138,Lucas Vázquez,4
202,-5.964046732555497,-1.0008208845234943,5.566175678977502,Franco Vázquez,0
203,-6.614721869241082,-0.2969400052193119,2.6206979616889594,Manu Trigueros,0
204,-4.96951036377159,3.054930544799704,2.7075447428951125,Samuel Umtiti,0
205,-0.7278513630913023,5.720000203637646,2.0538777636549397,Stefan Savić,3
206,-5.088456095843511,2.405602205404038,3.113058041961732,Roque Mesa,0
207,10.87974430312651,-2.1771698720803863,4.683370830173247,Loris Karius,1
208,-7.89627484599728,0.29406695193465554,2.6491585732117526,Alessandro Florenzi,0
209,-4.230358043614571,3.612044325877965,2.861072678106536,Virgil van Dijk,0
210,10.15641075064619,-2.0010987565361518,4.764646138735905,Jack Butland,1
211,-5.40301162201514,-3.3888210037238493,2.670926877148124,Morata,4
212,-6.29046848435422,-2.9163667265764346,1.3819395484574206,Lucas,4
213,-6.184891072761509,-3.9613155280464136,1.8225567979752817,Yevhen Konoplyanka,4
214,-2.237812627735911,4.52275935588062,3.1235234322068033,Francesco Acerbi,3
215,-6.467314337725635,-3.5876658970925566,2.9522020711585593,Nolito,4
216,-5.241898600968966,1.7078986324597816,3.839833304985046,Granit Xhaka,0
217,-2.2746676331275992,5.005619364769444,2.0919982570501854,Stefan de Vrij,3
218,-6.660583834288333,-2.2061838658559587,3.0912864171191337,Jonathan Viera,4
219,-7.447271661337069,-1.6783514535147976,3.2333967597096276,Pizzi,4
